Sector,Subsector,Entity_Count,Examples
DeFi Systems Architecture,DEX & Liquidity Pools,10,"0x Protocol, Balancer, Bancor, Cow Protocol, Curve Finance (+5 more)"
DeFi Systems Architecture,Lending Markets,17,"Aave, Arcade, BendDAO, Centrifuge (Tinlake / RWA pools), Clearpool (+12 more)"
DeFi Systems Architecture,Liquid Staking Tokens,7,"Coinbase, Ether.fi, Frax Finance, Lido, Rocket Pool (+2 more)"
DeFi Systems Architecture,Restaking Systems,7,"AltLayer, EigenLayer, Ether.fi (restaking layer), Kelp DAO, Puffer Finance (+2 more)"
DeFi Systems Architecture,Synthetic & Derivatives,10,"GMX, Hegic, Lyra, Notional Finance (derivatives view), Opyn (+5 more)"
DeFi Systems Architecture,Yield & Structured Markets,13,"BarnBridge (SMART Yield), Beefy Finance, Element Finance, Enzyme, Ether.fi Cash (+8 more)"
Governance & Enterprise Framework,CBDCs & Public Sector Pilots,28,"Abu Dhabi Global Market blockchain sandbox (ADGM RegLab), BIS Innovation Hub, Bank of England wholesale CBDC pilots, Banque de France CBDC pilots, City of Lugano Plan ₿ (+23 more)"
Governance & Enterprise Framework,Compliance & Regulatory Intelligence,24,"Amberdata (regulatory analytics contexts), Arkham (forensics contexts only), Blockchain Intelligence Group, Chainalysis, Chainalysis Government Solutions (+19 more)"
Governance & Enterprise Framework,DAO Governance Systems,26,"Agora, Aragon, Boardroom, Colony, Commonwealth (+21 more)"
Governance & Enterprise Framework,Enterprise Blockchain Adoption,30,"Alchemy (enterprise / infra adoption), Axelar (enterprise contexts only), Aztec (enterprise contexts only), Baseline Protocol, BlockApps (STRATO, Ethereum-anchored) (+25 more)"
Governance & Enterprise Framework,Institutional Custody & Security,26,"AWS Key Management Service (Ethereum signing only), Anchorage Digital, Anchorage Digital (recovery & insurance stack), Anchorage Policy Engine, BitGo (+21 more)"
Monetary & Access Rails,Centralized Stablecoins,6,"First Digital USD, Pax Dollar, PayPal USD, Stably USD, Tether (+1 more)"
Monetary & Access Rails,Decentralized Stablecoins,5,"Dai, Frax, Liquity USD, Rai Reflex Index, Savings Dai"
Monetary & Access Rails,Global On-Ramps,17,"Alchemy Pay, Banxa, Binance (Binance On-Ramp), Coinbase (Coinbase Pay / On-Ramp APIs), Mercuryo (+12 more)"
Monetary & Access Rails,Institutional Payment Rails,18,"Airwallex (Stablecoin Settlement Pilots), Bank for International Settlements (Project Agorá, Project Mariana), Circle (Circle Payments / Circle APIs), ConsenSys (Codefi Payments / Enterprise Settlement Tooling), Copper (ClearLoop Settlement Infrastructure) (+13 more)"
Monetary & Access Rails,Regional Payment Networks,25,"Belo, Bitso, Bitybank, Buenbit, Chipper (+20 more)"
Monetary & Access Rails,Synthetic & Yield-Bearing Dollars,4,"Ethena Dollar, Ondo Short-Term U.S. Government Bond Fund, Ondo U.S. Dollar Yield, Synthetix USD"
Rollup & Scaling Frameworks,L3 & Appchain Frameworks,7,"Arbitrum Nitro (Framework), Arbitrum Orbit, Avalanche HyperSDK (Ethereum-anchored variants only), Caldera, Conduit (+2 more)"
Rollup & Scaling Frameworks,Optimistic Rollups,5,"Arbitrum, Base, Blast, Optimism, Unichain"
Rollup & Scaling Frameworks,"Validiums, Volitions, and Hybrid Rollups",9,"Immutable X (Production NFT validium using StarkEx), Polygon CDK, Polygon CDK (Supports zkEVM rollups + validium-style chains), StarkEx (Validium + ZK Rollup modes; application-specific), StarkEx (borderline but architecturally critical) (+4 more)"
Rollup & Scaling Frameworks,ZK Rollup,6,"Linea, Polygon zkEVM, Scroll, Starknet, Taiko (+1 more)"
